council_district,highest_offense_desc,highest_offense,date,location,district,zip,x_coord,y_coord
9,AUTO THEFT,Auto Theft,10-Dec-18,2902 HAMPTON RD,B,78705,3118304,10078620
9,THEFT BY SHOPLIFTING,Theft,16-Oct-18,1201 BARBARA JORDAN BLVD,B,78723,3124601,10084923
10,BURGLARY OF VEHICLE,Theft,22-Jun-18,2600 LAKE AUSTIN BLVD,B,78703,3104471,10074894
4,BURGLARY OF RESIDENCE,Burglary,5-Jul-18,5330 N IH 35 SVRD SB,I,78751,3124538,10087177
7,BURGLARY OF VEHICLE,Theft,24-Sep-18,12802 POWDERHORN ST,A,78727,3129160,10126575
3,THEFT,Theft,9-Nov-18,1600 WICKERSHAM LN,H,78741,3122229,10059265
2,BURGLARY OF VEHICLE,Theft,5-Aug-18,4533 S IH 35 SVRD NB,F,78744,3111190,10049228
1,BURGLARY OF VEHICLE,Theft,30-Jul-18,12012 LANSDOWNE RD,C,78754,3155703,10103816
8,THEFT,Theft,9-Sep-18,5800 W SLAUGHTER LN,D,78749,3072565,10045990
1,THEFT,Theft,24-Aug-18,4805 RIBBECKE AVE,C,78721,3133039,10075310
7,BURGLARY OF RESIDENCE,Burglary,13-Jul-18,8109 EXMOOR DR,I,78757,3118161,10104284
10,BURGLARY OF VEHICLE,Theft,20-Dec-18,4411 SPICEWOOD SPRINGS RD,B,78731,3108358,10108761
5,BURGLARY OF VEHICLE,Theft,28-Dec-18,6900 WINDRIFT WAY,F,78745,3097174,10045256
9,THEFT BY SHOPLIFTING,Theft,28-Dec-18,907 W 5TH ST,G,78703,3110792,10071296
7,THEFT BY SHOPLIFTING,Theft,3-Sep-18,10107 RESEARCH BLVD NB,A,78759,3112274,10116346
7,BURGLARY OF VEHICLE,Theft,9-Aug-18,10011 STONELAKE BLVD,A,78759,3114834,10115974
9,THEFT,Theft,9-Aug-18,801 RED RIVER ST,G,78701,3116406,10070996
6,BURGLARY OF VEHICLE,Theft,18-Oct-18,13021 LEGENDARY DR,A,78727,3116805,10131649
7,THEFT,Theft,22-Jun-18,8425 BURNET RD,I,78757,3118159,10106318
8,THEFT FROM AUTO,Theft,14-Aug-18,9125 W SH 71,D,78736,3062906,10065808
6,AUTO THEFT,Auto Theft,4-Jul-18,13201 LEGENDARY DR,A,78727,3116797,10132195
4,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,13-Aug-18,1001 W RUNDBERG LN,E,78758,3126932,10106065
8,BURGLARY OF VEHICLE,Theft,24-Jun-18,2400 BLOCK STRATFORD DR,D,78746,3104497,10072363
8,AUTO THEFT,Auto Theft,25-Sep-18,4701 MONTEREY OAKS BLVD,D,78749,3084192,10056464
9,THEFT,Theft,4-Aug-18,2110 WIRTZ AVE,D,78704,3107251,10062862
7,THEFT,Theft,5-Sep-18,2525 W ANDERSON LN,B,78757,3116494,10102601
6,THEFT BY SHOPLIFTING,Theft,9-Sep-18,11200 LAKELINE MALL DR,A,78613,3092523,10143915
3,THEFT,Theft,14-Aug-18,501 E STASSNEY LN,F,78745,3105694,10046463
9,BURGLARY OF VEHICLE,Theft,13-Jul-18,3700 N IH 35 SVRD SB,B,78705,3121003,10080324
2,AUTO THEFT,Auto Theft,5-Dec-18,3600 PRESIDENTIAL BLVD,AP,78719,3138850,10047302
9,THEFT,Theft,15-Sep-18,E 6TH ST / NECHES ST,G,78701,3115761,10070320
8,THEFT,Theft,29-Jun-18,4801 SUMMERSET TRL,D,78749,3083206,10055691
4,BURGLARY NON RESIDENCE,Burglary,16-Sep-18,8216 GEORGIAN DR,E,78753,3126145,10100220
9,THEFT,Theft,13-Sep-18,516 DAWSON RD,D,78704,3110021,10067537
2,BURGLARY OF VEHICLE,Theft,15-Dec-18,901 LITTLE TEXAS LN,F,78745,3106583,10045152
7,BURGLARY OF VEHICLE,Theft,18-Dec-18,13000 N IH 35 SVRD SB,E,78753,3134503,10124881
4,BURGLARY OF VEHICLE,Theft,2-Aug-18,1011 FIELDWOOD DR,E,78758,3127306,10108463
9,THEFT,Theft,13-Aug-18,1201 BARBARA JORDAN BLVD,B,78723,3124601,10084923
