,highest_offense,date_rec,zip,x_coord,y_coord
1,Theft,1-Jan-16,78701.0,30.249570000000002,-97.70462
3,Theft,1-Jan-16,78701.0,30.236430000000002,-97.70357
6,Robbery,1-Jan-16,78741.0,30.28667,-97.60221
7,Agg Assault,1-Jan-16,78741.0,30.322300000000002,-97.59265
8,Agg Assault,1-Jan-16,78704.0,30.09793,-97.58337
16,Agg Assault,1-Jan-16,78704.0,30.23907,-97.59041
17,Agg Assault,1-Jan-16,78756.0,30.267950000000003,-97.92335
20,Burglary,1-Jan-16,78704.0,30.20158,-97.60953
21,Burglary,1-Jan-16,78723.0,30.363220000000002,-97.80484
22,Burglary,1-Jan-16,78701.0,30.25326,-97.70387
23,Rape,1-Jan-16,78752.0,-0.9,3.0
26,Burglary,1-Jan-16,78741.0,30.391730000000003,-97.59178
28,Theft,1-Jan-16,78701.0,30.25057,-97.71995
38,Auto Theft,1-Jan-16,78752.0,30.30451,-97.9397
39,Agg Assault,1-Jan-16,78752.0,30.387900000000002,-97.9224
40,Burglary,1-Jan-16,78752.0,30.44623,-97.92808
41,Theft,1-Jan-16,78701.0,30.25019,-97.7066
44,Auto Theft,1-Jan-16,78723.0,30.394560000000002,-97.87425
47,Theft,1-Jan-16,78723.0,30.361040000000003,-97.87499
48,Theft,1-Jan-16,78701.0,30.23692,-97.70194
50,Theft,1-Jan-16,78701.0,30.255660000000002,-97.70504
51,Theft,1-Jan-16,78704.0,30.17452,-97.57904
52,Theft,1-Jan-16,78701.0,30.25514,-97.67885
53,Theft,1-Jan-16,78723.0,30.36342,-97.89763
54,Theft,1-Jan-16,78723.0,30.41316,-97.9027
61,Theft,1-Jan-16,78704.0,30.234160000000003,-97.66258
62,Theft,1-Jan-16,78702.0,30.29041,-97.68828
63,Theft,1-Jan-16,78702.0,30.277230000000003,-97.70838
64,Theft,1-Jan-16,78701.0,30.221130000000002,-97.70173
66,Theft,1-Jan-16,78752.0,30.38221,-97.93769
67,Theft,1-Jan-16,78752.0,30.365820000000003,-97.96813
69,Theft,1-Jan-16,78702.0,30.27459,-97.70829
71,Theft,1-Jan-16,78705.0,30.220270000000003,-97.78868
72,Theft,1-Jan-16,78741.0,30.32711,-97.61235
74,Theft,1-Jan-16,78702.0,30.318740000000002,-97.7149
77,Theft,1-Jan-16,78701.0,30.2544,-97.70324
78,Theft,1-Jan-16,78701.0,30.25803,-97.69188
79,Theft,1-Jan-16,78701.0,30.25831,-97.71792
81,Agg Assault,2-Jan-16,78721.0,30.44593,-97.73739
82,Robbery,2-Jan-16,78752.0,30.35225,-97.95176
83,Robbery,2-Jan-16,78752.0,30.33432,-97.9592
85,Robbery,2-Jan-16,78752.0,30.32845,-97.96511
86,Rape,2-Jan-16,78741.0,-0.9,3.0
90,Agg Assault,2-Jan-16,78705.0,30.238970000000002,-97.75899
91,Agg Assault,2-Jan-16,78741.0,30.31692,-97.55203
97,Auto Theft,2-Jan-16,78741.0,30.39956,-97.60615
99,Agg Assault,2-Jan-16,78741.0,30.27851,-97.60538
103,Auto Theft,2-Jan-16,78705.0,30.270300000000002,-97.80071
