,highest_offense,date,zip,x_coord,y_coord
0,Auto Theft,10-Dec-18,78705.0,30.28304,-97.7862
1,Theft,16-Oct-18,78723.0,30.34601,-97.84923
2,Theft,22-Jun-18,78703.0,30.14471,-97.74894
5,Theft,9-Nov-18,78741.0,30.322290000000002,-97.59265
9,Theft,24-Aug-18,78721.0,30.430390000000003,-97.7531
13,Theft,28-Dec-18,78703.0,30.20792,-97.71296
16,Theft,9-Aug-18,78701.0,30.26406,-97.70996
22,Theft,24-Jun-18,78746.0,30.14497,-97.72363
24,Theft,4-Aug-18,78704.0,30.172510000000003,-97.62862
28,Theft,13-Jul-18,78705.0,30.31003,-97.80324
30,Theft,15-Sep-18,78701.0,30.25761,-97.7032
33,Theft,13-Sep-18,78704.0,30.200210000000002,-97.67537
37,Theft,13-Aug-18,78723.0,30.34601,-97.84923
38,Theft,10-Oct-18,78704.0,30.230700000000002,-97.65638
39,Theft,28-Jul-18,78741.0,30.39781,-97.55371
41,Burglary,22-Jul-18,78702.0,30.330340000000003,-97.6627
45,Theft,28-Aug-18,78701.0,30.25917,-97.67931
52,Theft,19-Aug-18,78704.0,30.185100000000002,-97.60277
53,Auto Theft,8-Aug-18,78746.0,30.09656,-97.67019
59,Theft,5-Sep-18,78703.0,30.21087,-97.71101
61,Theft,25-Jul-18,78752.0,30.42709,-97.91715
63,Theft,25-Jul-18,78723.0,30.36309,-97.89393
65,Theft,1-Oct-18,78741.0,30.29033,-97.61999
66,Theft,12-Sep-18,78723.0,30.436400000000003,-97.90689
67,Burglary,27-Aug-18,78721.0,30.46581,-97.75175
70,Theft,3-Sep-18,78704.0,30.15594,-97.65597
71,Theft,9-Oct-18,78701.0,30.239320000000003,-97.73668
84,Auto Theft,10-Sep-18,78752.0,30.41532,-97.94367
85,Auto Theft,25-Oct-18,78705.0,30.30329,-97.79559
86,Theft,17-Sep-18,78723.0,30.354670000000002,-97.88596
87,Theft,3-Oct-18,78701.0,30.23336,-97.75323
89,Theft,14-Oct-18,78702.0,30.283700000000003,-97.73945
94,Burglary,12-Oct-18,78704.0,30.25636,-97.59841
95,Rape,8-May-18,78741.0,-0.9,3.0
96,Robbery,25-Nov-18,78723.0,30.47913,-97.87649
99,Theft,29-Oct-18,78723.0,30.35013,-97.82433
101,Theft,2-Aug-18,78746.0,30.06698,-98.00276
102,Theft,23-Sep-18,78701.0,30.25816,-97.71833
104,Theft,14-Sep-18,78746.0,30.11493,-97.83961
107,Agg Assault,9-Oct-18,78704.0,30.21508,-97.5967
